Date,Source,Brand,Product Name,RRP,Selling Price
6/9/2019,Broadway,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
6/9/2019,Broadway,SONY,SONY XPERIA 1 (128GB),6999,5999
6/9/2019,Broadway,SONY,SONY XPERIA 10 (64GB),2499,1999
6/9/2019,Broadway,SONY,SONY XPERIA 10 PLUS (64GB),2999,2599
6/9/2019,Broadway,SONY,SONY XPERIA L3 (32GB),1599,1599
6/9/2019,Broadway,HUAWEI,HUAWEI Y7 PRIME (32GB),1458,1458
6/9/2019,Broadway,ASUS,ASUS ZENFONE MAX M1 (32GB),1598,1598
7/9/2019,Broadway,SAMSUNG,SAMSUNG A8+ (64GB),4398,3798
7/9/2019,Broadway,HTC,HTC DESIRE 12+ (32GB),1998,1598
7/9/2019,Broadway,HUAWEI,HUAWEI MATE 20 PRO (128GB),5988,5988
7/9/2019,Broadway,HUAWEI,HUAWEI MATE 20X (128GB),5488,5488
7/9/2019,Broadway,HUAWEI,HUAWEI NOVA 3 (128GB),3588,2988
7/9/2019,Broadway,HUAWEI,HUAWEI P30 (128GB),4288,4088
7/9/2019,Broadway,HUAWEI,HUAWEI P30 LITE (128GB),2388,2388
7/9/2019,Broadway,HUAWEI,HUAWEI P30 PRO (256GB),5988,5498
